 SELECT mc.strcompanydisplaycode,(mc.strcompanydisplaycode || ' ' || mc.strcompanydisplayname) AS strcompanydisplaycodename, mc.strcompanydisplayname FROM m_company mc, m_attribute ma, m_attributerelation mar WHERE mc.lngcompanycode = mar.lngcompanycode  AND mar.lngattributecode = ma.lngattributecode  AND mar.lngattributecode = 4  AND mc.bytcompanydisplayflag = true     ORDER BY mc.strcompanydisplaycode 
 SELECT mc.strcompanydisplaycode,(mc.strcompanydisplaycode || ' ' || mc.strcompanydisplayname) AS strcompanydisplaycodename, mc.strcompanydisplayname FROM m_company mc, m_attribute ma, m_attributerelation mar WHERE mc.lngcompanycode = mar.lngcompanycode  AND mar.lngattributecode = ma.lngattributecode  AND mar.lngattributecode = 4  AND mc.bytcompanydisplayflag = true     ORDER BY mc.strcompanydisplaycode 
id	name1	name2
0000	0000 ¤½¤ÎÂ¾(ÆüËÜ)	¤½¤ÎÂ¾(ÆüËÜ)
1103	1103 (³ô)¥¢¡¼¥È¥×¥ì¥¹¥È	(³ô)¥¢¡¼¥È¥×¥ì¥¹¥È
1112	1112 APEX MANUFACTURING CO., LTD.	APEX MANUFACTURING CO., LTD.
1113	1113 APEX¡¡DESIGN&ENGINEERING CO., LTD.	APEX¡¡DESIGN&ENGINEERING CO., LTD.
1119	1119 ARCADIA(H.K)LIMITED	ARCADIA(H.K)LIMITED
1121	1121 Advance Label&Paper Product(ShenZhen)LTD(3233)	Advance Label&Paper Product(ShenZhen)LTD(3233)
1202	1202 ­ëº£°æÀ½ºî½ê	­ëº£°æÀ½ºî½ê
1213	1213 (³ô)¥¤¥ï¥³¡¼	(³ô)¥¤¥ï¥³¡¼
1304	1304 Wang Shing Industrial LTD	Wang Shing Industrial LTD
1328	1328 VINH NGUYEN CONSTRUCTING TRADING MANUFACTURING CO.,LTD	VINH NGUYEN CONSTRUCTING TRADING MANUFACTURING CO.,LTD
1329	1329 WEILIFA PLASTIC CO.LTD(CHUN FAT)	WEILIFA PLASTIC CO.LTD(CHUN FAT)
1409	1409 ­ê¥¨¥¹¥¢¥¤¥¨¥ì¥¯¥È¥í¥Ë¥¯¥¹	­ê¥¨¥¹¥¢¥¤¥¨¥ì¥¯¥È¥í¥Ë¥¯¥¹
1501	1501 (³ô)¤ª¤ì¤ó¤¸	(³ô)¤ª¤ì¤ó¤¸
2101	2101 ¥«¥¿¥ª¥«¥×¥é¥»¥¹(³ô)	¥«¥¿¥ª¥«¥×¥é¥»¥¹(³ô)
2107	2107 GUIDE LINK LIMITED.	GUIDE LINK LIMITED.
2117	2117 (³ô)GAU¥Ç¥¶¥¤¥ó	(³ô)GAU¥Ç¥¶¥¤¥ó
2118	2118 (³ô)¥«¥ó¥é¼Ò	(³ô)¥«¥ó¥é¼Ò
2121	2121 CANSUM(¥Ð¥ó¥À¥¤¹©¾ì)	CANSUM(¥Ð¥ó¥À¥¤¹©¾ì)
2208	2208 KEYWICK LIMITED.	KEYWICK LIMITED.
2211	2211 ¶¨ÏÂ¥á¥¿¥ë(³ô)	¶¨ÏÂ¥á¥¿¥ë(³ô)
2216	2216 (³ô)°°±É	(³ô)°°±É
2217	2217 KAM Fung(¹±¶½Î´Áºç±À½ÉÊ¾ì)	KAM Fung(¹±¶½Î´Áºç±À½ÉÊ¾ì)
2305	2305 KUWAGATA HONG KONG LIMITED.	KUWAGATA HONG KONG LIMITED.
2307	2307 GLOBAL LINK INDUSTRIAL DEVELOPMENT LIMITED	GLOBAL LINK INDUSTRIAL DEVELOPMENT LIMITED
2310	2310 GUAN XIN INTERNATIONAL HOLDINGS LIMITED	GUAN XIN INTERNATIONAL HOLDINGS LIMITED
2312	2312 GRAND CHAMPION PLASTIC TOYS CO.,LTD(TALENT FIRST)	GRAND CHAMPION PLASTIC TOYS CO.,LTD(TALENT FIRST)
2508	2508 ³ô¼°²ñ¼Ò¡¡¥³¡¼¥æ¡¼	³ô¼°²ñ¼Ò¡¡¥³¡¼¥æ¡¼
3104	3104 (³ô)¥µ¥ó¥È¥à	(³ô)¥µ¥ó¥È¥à
3115	3115 (³ô)¥µ¥ó¥é¥¤¥º	(³ô)¥µ¥ó¥é¥¤¥º
3205	3205 SINOLINK HOLDINGS(CHINA)LTD	SINOLINK HOLDINGS(CHINA)LTD
3207	3207 CF WINKY ENTERPRISES LTD	CF WINKY ENTERPRISES LTD
3210	3210 SINO ACTION INDUSTRIAL LTD(WAH SHING)	SINO ACTION INDUSTRIAL LTD(WAH SHING)
3217	3217 J-Toys Manufacturing Ltd	J-Toys Manufacturing Ltd
3220	3220 SHUN YUE ENTERPRISES(HONG KONG)LIMITED	SHUN YUE ENTERPRISES(HONG KONG)LIMITED
3223	3223 JUNSIN INDUSTRIAL(HONGKONG)CO.,LIMITED	JUNSIN INDUSTRIAL(HONGKONG)CO.,LIMITED
3224	3224 (³ô)¥¹¥«¥¤¡¦¥¸¥§¥¤	(³ô)¥¹¥«¥¤¡¦¥¸¥§¥¤
3226	3226 JIANGMEN FUJITOY LTD.	JIANGMEN FUJITOY LTD.
3232	3232 SINOBEST ASIA LTD	SINOBEST ASIA LTD
3308	3308 ¥¹¥Þ¥¤¥ë¥ï¡¼¥ë¥É³ô¼°²ñ¼Ò	¥¹¥Þ¥¤¥ë¥ï¡¼¥ë¥É³ô¼°²ñ¼Ò
3309	3309 (³ô)¥¹¥º¥­¥Í	(³ô)¥¹¥º¥­¥Í
3310	3310 ShenZhen Pengchi Printing Co.,Ltd	ShenZhen Pengchi Printing Co.,Ltd
3311	3311 SHENZHEN NEW CREATIONS MODELS DESIGN CO,LTD.(QIYEE)	SHENZHEN NEW CREATIONS MODELS DESIGN CO,LTD.(QIYEE)
3312	3312 SHENGHUI MOLD FACTORY	SHENGHUI MOLD FACTORY
3313	3313 SHENZHEN YONGZHI PLASTIC&MOULD CO.,LTD	SHENZHEN YONGZHI PLASTIC&MOULD CO.,LTD
